title,listed_in,description,content
Avvai Shanmughi,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Title: Avvai Shanmughi | Genre: Comedies, International Movies | Description: Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
Go! Go! Cory Carson: Chrissy Takes the Wheel,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!","Title: Go! Go! Cory Carson: Chrissy Takes the Wheel | Genre: Children & Family Movies | Description: From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
Jeans,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","Title: Jeans | Genre: Comedies, International Movies, Romantic Movies | Description: When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
Love on the Spectrum,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.","Title: Love on the Spectrum | Genre: Docuseries, International TV Shows, Reality TV | Description: Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
Minsara Kanavu,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,"Title: Minsara Kanavu | Genre: Comedies, International Movies, Music & Musicals | Description: A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her."
Grown Ups,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.","Title: Grown Ups | Genre: Comedies | Description: Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
Dark Skies,"Horror Movies, Sci-Fi & Fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.","Title: Dark Skies | Genre: Horror Movies, Sci-Fi & Fantasy | Description: A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
Paranoia,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.","Title: Paranoia | Genre: Thrillers | Description: Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
Ankahi Kahaniya,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Title: Ankahi Kahaniya | Genre: Dramas, Independent Movies, International Movies | Description: As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
Chicago Party Aunt,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,Title: Chicago Party Aunt | Genre: TV Comedies | Description: Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
Sex Education,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.","Title: Sex Education | Genre: British TV Shows, International TV Shows, TV Comedies | Description: Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
Squid Game,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.","Title: Squid Game | Genre: International TV Shows, TV Dramas, TV Thrillers | Description: Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
Tayo and Little Wizards,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Title: Tayo and Little Wizards | Genre: Kids' TV | Description: Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
The Father Who Moves Mountains,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.","Title: The Father Who Moves Mountains | Genre: Dramas, International Movies, Thrillers | Description: When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
The Stronghold,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.","Title: The Stronghold | Genre: Action & Adventure, Dramas, International Movies | Description: Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
Angry Birds,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.","Title: Angry Birds | Genre: Kids' TV, TV Comedies | Description: Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
Birth of the Dragon,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","Title: Birth of the Dragon | Genre: Action & Adventure, Dramas | Description: A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
Chhota Bheem,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.","Title: Chhota Bheem | Genre: Kids' TV | Description: A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
He-Man and the Masters of the Universe,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,"Title: He-Man and the Masters of the Universe | Genre: Kids' TV, TV Sci-Fi & Fantasy | Description: Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor."
Jaws,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","Title: Jaws | Genre: Action & Adventure, Classic Movies, Dramas | Description: When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
Jaws 2,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","Title: Jaws 2 | Genre: Dramas, Horror Movies, Thrillers | Description: Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
Jaws 3,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.","Title: Jaws 3 | Genre: Action & Adventure, Horror Movies, Thrillers | Description: After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
Jaws: The Revenge,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.","Title: Jaws: The Revenge | Genre: Action & Adventure, Horror Movies, Thrillers | Description: After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
My Heroes Were Cowboys,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.","Title: My Heroes Were Cowboys | Genre: Documentaries | Description: Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
Safe House,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Title: Safe House | Genre: Action & Adventure | Description: Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
The Smart Money Woman,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.","Title: The Smart Money Woman | Genre: International TV Shows, Romantic TV Shows, TV Comedies | Description: Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
Training Day,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,"Title: Training Day | Genre: Dramas, Thrillers | Description: A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice."
Castle and Castle,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.","Title: Castle and Castle | Genre: International TV Shows, TV Dramas | Description: A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
Dharmakshetra,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.","Title: Dharmakshetra | Genre: International TV Shows, TV Dramas, TV Sci-Fi & Fantasy | Description: After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.","Title: InuYasha the Movie 2: The Castle Beyond the Looking Glass | Genre: Action & Adventure, Anime Features, International Movies | Description: With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
InuYasha the Movie 3: Swords of an Honorable Ruler,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,"Title: InuYasha the Movie 3: Swords of an Honorable Ruler | Genre: Action & Adventure, Anime Features, International Movies | Description: The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened."
InuYasha the Movie 4: Fire on the Mystic Island,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.","Title: InuYasha the Movie 4: Fire on the Mystic Island | Genre: Action & Adventure, Anime Features, International Movies | Description: Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
InuYasha the Movie: Affections Touching Across Time,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.","Title: InuYasha the Movie: Affections Touching Across Time | Genre: Action & Adventure, Anime Features, International Movies | Description: A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
Nailed It,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.","Title: Nailed It | Genre: Reality TV | Description: Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
Naruto Shippuden the Movie: Blood Prison,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.","Title: Naruto Shippuden the Movie: Blood Prison | Genre: Action & Adventure, Anime Features, International Movies | Description: Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
Naruto Shippûden the Movie: Bonds,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.","Title: Naruto Shippûden the Movie: Bonds | Genre: Action & Adventure, Anime Features, International Movies | Description: When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
Naruto Shippûden the Movie: The Will of Fire,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.","Title: Naruto Shippûden the Movie: The Will of Fire | Genre: Action & Adventure, Anime Features, International Movies | Description: When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
Naruto Shippuden: The Movie,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.","Title: Naruto Shippuden: The Movie | Genre: Action & Adventure, Anime Features, International Movies | Description: The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
Naruto Shippuden: The Movie: The Lost Tower,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.","Title: Naruto Shippuden: The Movie: The Lost Tower | Genre: Action & Adventure, Anime Features, International Movies | Description: When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
Naruto the Movie 2: Legend of the Stone of Gelel,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.","Title: Naruto the Movie 2: Legend of the Stone of Gelel | Genre: Action & Adventure, Anime Features, International Movies | Description: While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.","Title: Naruto the Movie 3: Guardians of the Crescent Moon Kingdom | Genre: Action & Adventure, Anime Features, International Movies | Description: Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
Naruto the Movie: Ninja Clash in the Land of Snow,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.","Title: Naruto the Movie: Ninja Clash in the Land of Snow | Genre: Action & Adventure, Anime Features, International Movies | Description: Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Nightbooks,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,Title: Nightbooks | Genre: Children & Family Movies | Description: Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
Numberblocks,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.","Title: Numberblocks | Genre: Kids' TV | Description: In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
Raja Rasoi Aur Anya Kahaniyan,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.","Title: Raja Rasoi Aur Anya Kahaniyan | Genre: Docuseries, International TV Shows | Description: Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
Saved by the Bell,"Kids' TV, TV Comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.","Title: Saved by the Bell | Genre: Kids' TV, TV Comedies | Description: From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
Schumacher,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","Title: Schumacher | Genre: Documentaries, International Movies, Sports Movies | Description: Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
Stories by Rabindranath Tagore,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,"Title: Stories by Rabindranath Tagore | Genre: International TV Shows, TV Dramas | Description: The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal."
Too Hot To Handle: Latino,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.","Title: Too Hot To Handle: Latino | Genre: International TV Shows, Reality TV, Romantic TV Shows | Description: On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
A StoryBots Space Adventure,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Title: A StoryBots Space Adventure | Genre: Children & Family Movies | Description: Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
Jack Whitehall: Travels with My Father,"British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.","Title: Jack Whitehall: Travels with My Father | Genre: British TV Shows, Docuseries, International TV Shows | Description: Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
King of Boys,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Title: King of Boys | Genre: Dramas, International Movies | Description: When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
The World's Most Amazing Vacation Rentals,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.","Title: The World's Most Amazing Vacation Rentals | Genre: Reality TV | Description: With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
You vs. Wild: Out Cold,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.","Title: You vs. Wild: Out Cold | Genre: Children & Family Movies | Description: After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
Yowamushi Pedal,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.","Title: Yowamushi Pedal | Genre: Anime Series, International TV Shows | Description: A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
Little Singham - Black Shadow,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,"Title: Little Singham - Black Shadow | Genre: Children & Family Movies, Comedies | Description: Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?"
Tughlaq Durbar,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"Title: Tughlaq Durbar | Genre: Comedies, Dramas, International Movies | Description: A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move."
Tughlaq Durbar (Telugu),"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"Title: Tughlaq Durbar (Telugu) | Genre: Comedies, Dramas, International Movies | Description: A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move."
Firedrake the Silver Dragon,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.","Title: Firedrake the Silver Dragon | Genre: Children & Family Movies | Description: When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
Kate,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.","Title: Kate | Genre: Action & Adventure | Description: Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
Lucifer,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","Title: Lucifer | Genre: Crime TV Shows, TV Comedies, TV Dramas | Description: Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
